main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Steven  Cowley,706235,Fusion is energy's future,"https://www.ted.com/talks/steven_cowley_fusion_is_energy_s_future
",14,12,69,31,6,2,323,179,49,158,28,51,12,119
Asher Hasan,415223,My message of peace from Pakistan,"https://www.ted.com/talks/asher_hasan_s_message_of_peace_from_pakistan
",4,95,11,71,5,3,34,28,25,39,20,32,4,170
Michael Sandel,393459,What's the right thing to do?,"https://www.ted.com/talks/michael_sandel_what_s_the_right_thing_to_do
",58,39,56,38,31,12,205,291,19,132,32,83,9,126
Cat Laine,154698,Engineering a better life for all,"https://www.ted.com/talks/cat_laine_engineering_a_better_life_for_all
",11,21,56,33,51,15,123,40,22,62,19,50,23,126
Bertrand Piccard,778978,My solar-powered adventure,"https://www.ted.com/talks/bertrand_piccard_s_solar_powered_adventure
",10,59,83,186,43,10,64,184,21,146,53,53,23,604
Vilayanur Ramachandran,1939385,The neurons that shaped civilization,"https://www.ted.com/talks/vs_ramachandran_the_neurons_that_shaped_civilization
",29,91,271,32,8,8,776,1251,31,238,506,63,5,436
Nick Veasey,1780196,Exposing the invisible,"https://www.ted.com/talks/nick_veasey_exposing_the_invisible_1
",63,309,113,19,58,8,97,249,26,6,55,107,35,84
Dan Buettner,3157446,How to live to be 100+,"https://www.ted.com/talks/dan_buettner_how_to_live_to_be_100
",43,128,54,47,27,13,1181,861,53,671,122,132,18,1136
Romulus Whitaker,397719,The real danger lurking in the water,"https://www.ted.com/talks/romulus_whitaker_the_real_danger_lurking_in_the_water
",5,56,7,40,14,6,114,72,7,67,19,38,5,111
Herbie Hancock,652315,An all-star set,"https://www.ted.com/talks/herbie_hancock_s_all_star_set
",16,145,51,14,16,5,8,68,11,5,80,20,8,84
Randy Pausch,564781,Really achieving your childhood dreams,"https://www.ted.com/talks/randy_pausch_really_achieving_your_childhood_dreams
",200,264,41,299,15,5,80,107,7,88,172,41,10,892
Robert Sapolsky,572845,The uniqueness of humans,"https://www.ted.com/talks/robert_sapolsky_the_uniqueness_of_humans
",342,92,134,37,14,7,532,564,11,161,135,40,9,445
Matt Weinstein,149818,What Bernie Madoff couldn't steal from me,"https://www.ted.com/talks/matt_weinstein_what_bernie_madoff_couldn_t_steal_from_me
",171,42,6,94,24,7,56,22,47,42,11,64,34,246
Kartick Satyanarayan,415566,"How we rescued the ""dancing"" bears""","https://www.ted.com/talks/kartick_satyanarayan_how_we_rescued_the_dancing_bears
",6,113,25,133,0,5,83,57,3,43,34,24,1,252
Kiran Sethi,1417163,"Kids, take charge","https://www.ted.com/talks/kiran_bir_sethi_teaches_kids_to_take_charge
",12,301,138,292,9,14,99,246,41,321,131,58,13,1287
Lalitesh Katragadda,359942,"Making maps to fight disaster, build economies","https://www.ted.com/talks/lalitesh_katragadda_making_maps_to_fight_disaster_build_economies
",0,8,36,5,3,2,116,45,8,32,13,51,6,76
Edwidge Danticat,50443,Stories of Haiti,"https://www.ted.com/talks/edwidge_danticat_stories_of_haiti
",7,25,3,10,18,4,31,5,1,2,10,14,4,20
Charles Fleischer,1055904,All things are Moleeds,"https://www.ted.com/talks/charles_fleischer_insists_all_things_are_moleeds
",782,24,174,20,55,80,41,86,47,11,40,78,91,24
David Blaine,15601385,How I held my breath for 17 minutes,"https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_min
",236,111,75,738,38,17,147,913,43,61,897,97,52,722
Ravin Agrawal,437800,10 young Indian artists to watch,"https://www.ted.com/talks/ravin_agrawal_10_young_indian_artists_to_watch
",2,85,9,2,8,4,75,55,11,11,11,44,7,59
Anthony Atala,1705132,Growing new organs,"https://www.ted.com/talks/anthony_atala_growing_organs_engineering_tissue
",9,34,358,36,5,5,310,504,6,57,473,33,6,264
Sivamani,556163,"Rhythm is everything, everywhere","https://www.ted.com/talks/sivamani_rhythm_is_everything_everywhere
",31,161,103,25,46,17,6,137,32,12,182,48,20,120
Richard Dawkins,318423,Growing up in the universe,"https://www.ted.com/talks/richard_dawkins_growing_up_in_the_universe
",19,64,47,20,70,3,192,156,112,133,51,21,62,136
Taylor Mali,676741,What teachers make,"https://www.ted.com/talks/taylor_mali_what_teachers_make
",351,253,120,219,18,11,91,75,25,202,140,39,49,825
Bill Davenhall,761716,Your health depends on where you live,"https://www.ted.com/talks/bill_davenhall_your_health_depends_on_where_you_live
",7,17,74,11,15,5,412,109,77,176,25,80,8,71
Joshua Prince-Ramus,717531,Building a theater that remakes itself,"https://www.ted.com/talks/joshua_prince_ramus_building_a_theater_that_remakes_itself
",1,32,176,15,31,17,52,105,10,45,43,22,12,113
Eve Ensler,1224278,Embrace your inner girl,"https://www.ted.com/talks/eve_ensler_embrace_your_inner_girl
",44,434,66,549,32,24,111,160,71,192,152,31,111,870
Jane Chen,702550,A warm embrace that saves lives,"https://www.ted.com/talks/jane_chen_a_warm_embrace_that_saves_lives
",2,125,370,44,5,1,129,54,6,115,41,34,3,299
Derek Sivers,2835976,"Weird, or just different?","https://www.ted.com/talks/derek_sivers_weird_or_just_different
",924,87,333,34,9,13,758,558,17,274,86,158,10,513
JK Rowling,1406151,The fringe benefits of failure,"https://www.ted.com/talks/jk_rowling_the_fringe_benefits_of_failure
",969,1288,245,745,40,14,322,422,18,498,371,98,18,3436
Sendhil Mullainathan,495585,Solving social problems with a nudge,"https://www.ted.com/talks/sendhil_mullainathan
",23,14,93,14,51,17,224,129,28,200,25,79,26,125
Jamie Heywood,528451,The big idea my brother inspired,"https://www.ted.com/talks/jamie_heywood_the_big_idea_my_brother_inspired
",2,29,199,87,4,13,108,97,8,69,58,8,6,228
George Whitesides,496827,A lab the size of a postage stamp,"https://www.ted.com/talks/george_whitesides_a_lab_the_size_of_a_postage_stamp
",16,11,313,24,20,9,144,120,10,74,50,33,11,107
David Agus,696319,A new strategy in the war on cancer,"https://www.ted.com/talks/david_agus_a_new_strategy_in_the_war_on_cancer
",1,8,59,31,34,44,177,118,52,121,25,42,10,104
"Tom Shannon, John Hockenberry",433879,The painter and the pendulum,"https://www.ted.com/talks/tom_shannon_the_painter_and_the_pendulum
",0,143,68,26,21,0,23,83,16,4,20,28,12,119
Peter Eigen,741625,How to expose the corrupt,"https://www.ted.com/talks/peter_eigen_how_to_expose_the_corrupt
",5,21,21,494,56,9,387,77,23,293,96,65,9,349
Jamie Oliver,7638978,Teach every child about food,"https://www.ted.com/talks/jamie_oliver
",359,470,297,1547,99,69,2606,844,113,3316,1413,249,109,4779
Blaise Agüera y Arcas,1718568,Augmented-reality maps,"https://www.ted.com/talks/blaise_aguera
",90,123,459,31,8,16,244,591,28,52,849,103,12,303
David Cameron,656762,The next age of government,"https://www.ted.com/talks/david_cameron
",15,21,39,69,56,28,233,88,241,272,25,109,60,286
