main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Ziyah Gafić,1000194,Sarajevo,Bosnia and Herzegovina,Europe,9,60,11,52,14,5,113,56,17,18,14,94,7,73
Martin Rees,1219295,York,United Kingdom,Europe,13,24,39,42,29,19,257,142,68,133,10,137,11,150
Colin Grant,877106,North Hertfordshire,United Kingdom,Europe,35,105,8,160,32,26,31,47,11,6,6,40,4,75
Andrew Connolly,1223720,Dublin,Ireland,Europe,4,75,21,7,22,9,275,199,8,24,34,40,2,146
Lord Nicholas Stern,773801,London,United Kingdom,Europe,5,51,17,27,49,1,230,29,8,205,11,34,3,200
Daria van den Bercken,903111,Utrecht,Netherlands,Europe,18,573,39,41,1,0,21,153,2,24,54,45,8,243
Fabien Cousteau,1215053,Paris,France,Europe,11,237,22,37,12,3,155,252,22,28,29,97,6,183
Frans Lanting,1439341,Rotterdam,Netherlands,Europe,13,588,15,12,6,8,54,187,30,49,21,55,9,303
Debra Jarvis,970703,Leicester,United Kingdom,Europe,40,196,20,178,45,8,66,44,9,113,4,66,9,326
Pico Iyer,2649262,Oxford,United Kingdom,Europe,15,903,62,70,73,18,207,361,43,429,17,142,15,1523
Aakash Odedra,817014,Birmingham,United Kingdom,Europe,5,423,56,17,57,31,1,105,38,6,50,92,26,89
Jeremy Howard,2183690,City of Westminster,United Kingdom,Europe,14,61,144,11,27,17,748,652,26,163,365,60,9,191
Cristina Domenech,687808,Málaga,Spain,Europe,3,311,10,118,6,1,17,62,7,19,14,16,3,291
Harry Baker,1369263,London,United Kingdom,Europe,403,528,189,40,7,11,7,214,2,8,97,33,16,309
Sangu Delle,955623,London,United Kingdom,Europe,23,70,22,50,2,5,106,21,26,68,7,37,4,86
Vincent Cochetel,1161560,Tours,France,Europe,6,136,1,624,3,5,168,214,3,89,127,26,12,471
Dame Stephanie Shirley,1919991,Dortmund,Germany,Europe,426,544,30,529,13,14,144,385,5,94,51,56,5,1417
Alison Killing,1231198,Newcastle upon Tyne,United Kingdom,Europe,15,93,43,46,5,9,226,142,23,98,7,142,6,198
Eduardo Sáenz de Cabezón,1610293,Logroño,Spain,Europe,701,195,316,8,4,16,349,318,7,96,28,77,2,336
Nizar Ibrahim,931845,Berlin,Germany,Europe,4,31,7,11,4,1,228,117,7,9,17,55,0,57
Nick Bostrom,2832581,Helsingborg,Sweden,Europe,25,26,114,142,63,45,680,369,71,216,96,129,13,310
Esther Perel,8218896,Antwerp,Belgium,Europe,310,426,359,761,40,33,2479,2199,62,877,361,141,21,1760
Sarah Jones,1531675,London,United Kingdom,Europe,427,96,306,85,29,16,106,158,27,48,46,88,12,85
Dame Ellen MacArthur,1566602,Amber Valley,United Kingdom,Europe,3,129,115,276,18,4,373,239,31,214,67,40,2,703
Jimmy Carter,1388335,Birmingham,United Kingdom,Europe,21,258,6,465,19,9,688,96,16,417,102,58,16,556
Johann Hari,7841509,Glasgow,United Kingdom,Europe,131,2247,488,1112,94,21,3734,1849,106,1897,497,167,15,4219
Jon Ronson,2603397,Cardiff,United Kingdom,Europe,33,48,16,291,7,5,341,294,35,250,70,34,7,182
Manuel Lima,1710873,Ribeira Grande,Portugal,Europe,18,208,102,4,66,24,378,284,56,47,17,200,9,181
