main_speaker,views,speaker_occupation,cluster
Eric Lewis,391427,Pianist,Performing Arts and Music
Hans Rosling,904813,Global health expert; data visionary,Health and Medicine
Nandan Nilekani,792495,Technologist and visionary,Science and Technology
Dan Ariely,4934167,Behavioral economist,Business and Economics
Mary Roach,22270883,Writer,Creative Writing and Digital Content
Carolyn Porco,884578,Planetary scientist,Science and Technology
Yves Behar,556657,Designer,Architecture and Design
Joachim de Posada,2613400,Speaker and author,Education and Academia
Jay Walker,4289903,Entrepreneur,Business and Economics
Jonathan Drori,555846,Educator,Education and Academia
Ray Kurzweil,908923,"Inventor, futurist",Science and Technology
Felix Dennis,296294,"Publisher, philanthropist, poet",Creative Writing and Storytelling
Pete Alcorn,493966,Media exec,Media and Journalism
John La Grou,606042,Inventor,Science and Technology
Kevin Surace,352169,"Engineer, executive",Science and Technology
Nancy Etcoff,1587823,Evolutionary psychologist,Health and Medicine
Robert Full,665959,Biologist,Physical and Earth Sciences
Clay Shirky,1677738,Social Media Theorist,Media and Journalism
Philip Zimbardo,1580239,Psychologist,Health and Medicine
Paul Collier,406530,Economist,Business and Economics
Katherine Fulton,437529,New philanthropist,Philanthropy and Social Change
Arthur Benjamin,2175141,Mathemagician,Science and Technology
Gever Tulley,1149257,Tinkerer,Science and Technology
Daniel Libeskind,784642,Architect,Architecture and Design
Eames Demetrios,594111,Artist,Arts and Entertainment
Tom Wujec,1022457,Designer,Architecture and Design
Sophal Ear,501090,Development economist,Business and Economics
Stewart Brand,646378,"Environmentalist, futurist",Environment and Sustainability
Daniel Kraft,462619,Physician scientist,Science and Technology
Jim Fallon,2064604,Neurobiologist,Physical and Earth Sciences
Nina Jablonski,996694,Anthropologist,Anthropology and Sociology
Alain de Botton,5790615,Philosopher,Philosophy and Thought Leadership
Golan Levin,771144,Experimental audio-visual artist,Arts and Entertainment
Michael Pritchard,3573198,Inventor,Science and Technology
Paul Romer,572392,"Chief Economist and Senior Vice President, World Bank",Business and Economics
Janine Benyus,1118954,"Science writer, innovation consultant, conservationist",Creative Writing and Digital Content
Emmanuel Jal,776516,Hip-hop artist,Arts and Entertainment
Hans Rosling,1471039,Global health expert; data visionary,Health and Medicine
Natasha Tsakos,389813,Artist,Arts and Entertainment
Joshua Silver,751452,Optical innovator,Technology Visionaries and Innovators
Evan Grant,811565,Creative technologist,Science and Technology
Rebecca Saxe,2856240,Cognitive neuroscientist,Science and Technology
Vishal Vaid,414396,Musician,Arts and Entertainment
Bjarke Ingels,2129938,Architect,Architecture and Design
Oliver Sacks,4233352,Neurological anthropologist,Anthropology and Sociology
Imogen Heap,883282,Musician,Arts and Entertainment
Evgeny Morozov,430276,Internet scientist,Science and Technology
William Kamkwamba,2161908,Inventor,Science and Technology
Tim Brown,1340175,Designer,Architecture and Design
Karen Armstrong,732390,Religious scholar,Spiritual and Religious Leadership
Garik Israelian,593547,Astrophysicist,Physical and Earth Sciences
Stefan Sagmeister,2956967,Graphic designer,Architecture and Design
David Logan,1404586,Professor of management,Education and Academia
Beau Lotto,5006241,"Neuroscientist, Artist",Arts and Entertainment
Sam Martin,739428,Writer,Creative Writing and Digital Content
David Hanson,906262,Robotics designer,Architecture and Design
Henry Markram,1180127,Neuroscientist,Science and Technology
Marc Koska,629018,Inventor,Science and Technology
Ian Goldin,1072435,"Economist, development visionary",Business and Economics
David Deutsch,938937,Quantum physicist,Physical and Earth Sciences
Rachel Armstrong,1095398,"Applied scientist, innovator",Science and Technology
Becky  Blanton,1098346,Writer,Creative Writing and Digital Content
Marcus du Sautoy,1010292,Mathematician,Science and Technology
Stefana Broadbent,1198897,Tech anthropologist,Anthropology and Sociology
Cameron Sinclair,411183,"Co-founder, Architecture for Humanity",Architecture and Design
Mathieu Lehanneur,431307,Designer,Architecture and Design
Fields Wicker-Miurin,956175,Social entrepreneur,Business and Economics
Tom Wujec,569026,Designer,Architecture and Design
